scope,year,variant,n,mae_000s,bias_000s,aggregate_under_pct,median_ape_pct,mape_pct,underpredicted_pct
marquee_2024_2025,2024,past_selected,36,1299.0665472928397,-272.5974842223501,3.4569217387644957,13.818778357457935,18.87086325559454,63.888888888888886
marquee_2024_2025,2025,past_selected,42,1379.5740919756838,-235.8089874907138,2.7242707868082694,13.034856432186332,16.167959013553237,52.38095238095239
marquee_2024_2025,2024,ranked_mean,36,1299.0665472928397,-272.5974842223501,3.4569217387644957,13.818778357457935,18.87086325559454,63.888888888888886
marquee_2024_2025,2025,ranked_mean,42,1379.5740919756838,-235.8089874907138,2.7242707868082694,13.034856432186332,16.167959013553237,52.38095238095239
both_ranked,2021,broad_to_marquee,38,1396.6692431216616,-407.45642128156675,6.990538628696353,23.4848285489675,22.68207826695731,55.26315789473685
both_ranked,2022,broad_to_marquee,46,999.8462768294853,90.12395796518669,-1.7130292411051684,14.375625418812962,20.35024550036784,50.0
both_ranked,2023,broad_to_marquee,42,1177.4024468414075,-274.20723555030366,4.605797244174214,17.596837070958035,23.122283030801057,45.23809523809524
both_ranked,2024,broad_to_marquee,38,1112.4572376835467,-164.62249772808718,2.5412962762704328,17.338922712005925,20.43315638160236,39.473684210526315
both_ranked,2025,broad_to_marquee,47,1236.790073245862,-412.2853353241237,5.701116473730727,14.503433872202283,19.811647191401626,55.319148936170215
both_ranked,2021,current,38,1396.6692431216616,-407.45642128156675,6.990538628696353,23.4848285489675,22.68207826695731,55.26315789473685
both_ranked,2022,current,46,1021.0949923499736,-130.9738921676907,2.489483508827628,14.21696926483877,20.00987018061452,54.347826086956516
both_ranked,2023,current,42,1178.830236625567,-491.3612656669614,8.253284632555491,17.596837070958035,22.525019284451496,52.38095238095239
both_ranked,2024,current,38,1242.7625292209693,-523.4530105968888,8.080603835993571,18.32300718624103,21.392387466632655,52.63157894736842
both_ranked,2025,current,47,1257.3553088868657,-724.2526365597661,10.015026690647822,14.503433872202283,19.777074904810746,68.08510638297872
both_ranked,2021,hybrid_mean,38,1396.6692431216616,-407.45642128156675,6.990538628696353,23.4848285489675,22.68207826695731,55.26315789473685
both_ranked,2022,hybrid_mean,46,1017.0654089935779,54.626147770563946,-1.0383053582273316,15.375810639982372,20.737636352937933,52.17391304347826
both_ranked,2023,hybrid_mean,42,1156.3335707533145,-332.8567954157861,5.590920706209602,17.606127440807583,22.817215311027304,50.0
both_ranked,2024,hybrid_mean,38,1180.7043825957023,-305.8798145764846,4.721901589984756,17.46870985959167,21.583737075822228,52.63157894736842
both_ranked,2025,hybrid_mean,47,1186.4566147442188,-411.655504017211,5.6924071131692955,14.459559330041742,18.8996506353019,55.319148936170215
both_ranked,2021,marquee_mean,38,1396.6692431216616,-407.45642128156675,6.990538628696353,23.4848285489675,22.68207826695731,55.26315789473685
both_ranked,2022,marquee_mean,46,1012.6497036895287,-68.98408999437507,1.3112136439573763,14.151632426903145,20.06453609851661,54.347826086956516
both_ranked,2023,marquee_mean,42,1169.509132390335,-434.6860712529357,7.301324142813903,17.596837070958035,22.578911889920253,52.38095238095239
both_ranked,2024,marquee_mean,38,1204.595127538491,-448.2867121622568,6.920253112677011,16.932365570538252,21.054417340951606,52.63157894736842
both_ranked,2025,marquee_mean,47,1223.7964912078621,-534.1668606026237,7.386504509815972,14.857984132882423,19.57491177741238,63.829787234042556
both_ranked,2021,marquee_median,38,1396.6692431216616,-407.45642128156675,6.990538628696353,23.4848285489675,22.68207826695731,55.26315789473685
both_ranked,2022,marquee_median,46,1025.860900998992,-165.9564423453443,3.1544135977380483,14.56516054211183,19.979020699748766,54.347826086956516
both_ranked,2023,marquee_median,42,1179.301667213095,-494.22770933356895,8.301431641928724,17.596837070958035,22.522293574919836,52.38095238095239
both_ranked,2024,marquee_median,38,1183.4381610495957,-406.6205052167143,6.277047123104939,16.54604616117007,20.86707363118673,52.63157894736842
both_ranked,2025,marquee_median,47,1224.3230995908993,-541.7811109517884,7.491795007394808,14.692857562295751,19.57517997342039,63.829787234042556
both_ranked,2021,past_selected,38,1396.6692431216616,-407.45642128156675,6.990538628696353,23.4848285489675,22.68207826695731,55.26315789473685
both_ranked,2022,past_selected,46,1021.0949923499736,-130.9738921676907,2.489483508827628,14.21696926483877,20.00987018061452,54.347826086956516
both_ranked,2023,past_selected,42,1177.4024468414075,-274.20723555030366,4.605797244174214,17.596837070958035,23.122283030801057,45.23809523809524
both_ranked,2024,past_selected,38,1181.8079523733145,-269.0564044457612,4.153454407271262,17.935431542513562,22.081490064586887,52.63157894736842
both_ranked,2025,past_selected,47,1194.4939519860816,-303.32737049734624,4.194436524200695,13.375140301639883,19.602484898985097,51.06382978723404
both_ranked,2021,ranked_mean,38,1396.6692431216616,-407.45642128156675,6.990538628696353,23.4848285489675,22.68207826695731,55.26315789473685
both_ranked,2022,ranked_mean,46,1012.9986017664701,84.49527412713523,-1.6060421510880607,13.603814345728665,20.69280858101996,50.0
both_ranked,2023,ranked_mean,42,1156.2075434186436,-295.5094046703019,4.963604986303705,16.41196575441532,23.23550541033283,50.0
both_ranked,2024,ranked_mean,38,1181.8079523733145,-269.0564044457612,4.153454407271262,17.935431542513562,22.081490064586887,52.63157894736842
both_ranked,2025,ranked_mean,47,1194.4939519860816,-303.32737049734624,4.194436524200695,13.375140301639883,19.602484898985097,51.06382978723404
