scope,variant,year,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s
four_broadcast,past_selected,2021,110,994.5560543804529,23.886956882419412,23.072932264168415,47.27272727272727,70.9090909090909,9.090909090909092,-352.62595434512764
four_broadcast,past_selected,2022,112,905.9905232804489,21.573415483299545,15.679924528111716,59.82142857142857,71.42857142857143,6.25,-193.7333611670612
four_broadcast,past_selected,2023,132,903.3988619109399,22.06679049664641,19.455358682839,53.03030303030303,73.48484848484848,7.575757575757576,-370.22800640330587
four_broadcast,past_selected,2024,137,851.6871046741629,23.47888754246123,18.320525804453087,53.284671532846716,73.72262773722628,10.218978102189782,-112.2631488814935
four_broadcast,past_selected,2025,118,980.8208823476898,20.283486898659728,17.94063351744275,57.6271186440678,77.96610169491525,3.389830508474576,-461.6928381166246
week1_major,current,2021,17,731.0362597141703,28.772534427070973,16.165908172871294,52.94117647058824,82.35294117647058,17.647058823529413,-32.6334225179412
week1_major,current,2022,14,1027.9167811703312,32.87903992800072,30.24595959445831,21.428571428571427,50.0,14.285714285714285,95.3985906930264
week1_major,current,2023,10,967.4523300374312,26.654062525588085,21.77604160727521,40.0,80.0,20.0,-508.3723703942769
week1_major,current,2024,17,488.8207443650841,16.829451190959507,15.75581304383873,64.70588235294117,76.47058823529412,0.0,-231.95147233537065
week1_major,current,2025,16,1085.6817918711818,25.07823065421895,19.53698927023568,50.0,68.75,18.75,-905.8335817792616
week1_major,interest_level,2021,17,672.986591655507,22.222425729477013,19.47472495281779,52.94117647058824,82.35294117647058,5.88235294117647,-495.25490848069484
week1_major,interest_level,2022,14,1082.9835577839262,33.625378485250536,33.86452705900577,21.428571428571427,35.714285714285715,21.428571428571427,113.66473177176815
week1_major,interest_level,2023,10,909.5878724538888,26.669258153195166,15.103534681599953,60.0,70.0,30.0,-326.9748740648391
week1_major,interest_level,2024,17,515.5555758058177,16.536661298269166,12.335635458055902,76.47058823529412,82.35294117647058,0.0,-219.63079688484035
week1_major,interest_level,2025,16,1003.889226038561,23.697764817173642,16.05227461436414,62.5,68.75,18.75,-838.9427865230298
week1_major,interest_level_momentum,2021,17,690.0431190990794,22.60814981506227,20.116928594667126,47.05882352941176,70.58823529411765,5.88235294117647,-510.79552679944584
week1_major,interest_level_momentum,2022,14,1104.219672260054,33.794781882475306,32.03054027961233,21.428571428571427,35.714285714285715,21.428571428571427,147.62237967984044
week1_major,interest_level_momentum,2023,10,860.3265747458712,24.38937749512099,14.469125668599055,60.0,70.0,30.0,-398.07401175835184
week1_major,interest_level_momentum,2024,17,514.6647880498213,16.69296442327908,14.62136823829034,82.35294117647058,82.35294117647058,0.0,-252.6985464417612
week1_major,interest_level_momentum,2025,16,1035.3792267755111,24.250378248163656,16.35599276308396,62.5,68.75,18.75,-782.1059109077122
week1_major,interest_momentum,2021,17,717.4811251433666,28.34112188175287,16.316789829380877,52.94117647058824,76.47058823529412,17.647058823529413,-34.10563348028903
week1_major,interest_momentum,2022,14,1057.744691444398,33.3858137642312,30.40732320799956,21.428571428571427,50.0,21.428571428571427,130.99243524842615
week1_major,interest_momentum,2023,10,967.7301746200592,26.95301072811813,20.017523383903125,50.0,70.0,20.0,-517.9319395079356
