scope,year,variant,n,mae_000s,bias_000s,aggregate_under_pct,median_ape_pct,mape_pct,underpredicted_pct
major_pred_ge3M,2025,band_median,81,1197.551617510726,-507.08627093279733,7.699067831359841,16.509441134720795,19.6479987153194,65.4320987654321
major_pred_ge3M,2021,current,63,1283.1353735102214,-386.50194816358237,7.043835242374074,19.933538523554365,22.613819209342918,53.96825396825397
major_pred_ge3M,2022,current,74,1122.8944666680652,-160.6338075416302,3.0091898531924177,15.586172198079755,20.7083008044554,50.0
major_pred_ge3M,2023,current,79,1191.532333486198,-449.0213368636208,8.262913024045226,18.548198873578045,22.89569810648587,50.63291139240506
major_pred_ge3M,2024,current,89,1062.8460039371698,-179.2983759472901,3.255381680431846,15.734299883072907,21.521534046992823,52.80898876404494
major_pred_ge3M,2025,current,81,1202.8370412561735,-542.3662500198067,8.234722152231488,17.347244503457436,19.687046190723176,66.66666666666666
major_pred_ge3M,2021,global_mean,63,1283.1353735102214,-386.50194816358237,7.043835242374074,19.933538523554365,22.613819209342918,53.96825396825397
major_pred_ge3M,2022,global_mean,74,1146.4960269052958,234.09800137871375,-4.385411397403871,16.250438287208578,22.83909298766658,40.54054054054054
major_pred_ge3M,2023,global_mean,79,1196.205159262913,-111.11187427164415,2.0446862491171336,22.800891703910352,24.855312103493105,43.037974683544306
major_pred_ge3M,2024,global_mean,89,1082.1058794883456,258.84254295368714,-4.699603484950354,16.80339271669796,24.093402040022283,35.95505617977528
major_pred_ge3M,2025,global_mean,81,1141.0881732434086,-173.1053051506245,2.628249989634468,15.47871163640744,19.615820279073592,51.85185185185185
major_pred_ge3M,2021,past_selected,63,1283.1353735102214,-386.50194816358237,7.043835242374074,19.933538523554365,22.613819209342918,53.96825396825397
major_pred_ge3M,2022,past_selected,74,1122.8944666680652,-160.6338075416302,3.0091898531924177,15.586172198079755,20.7083008044554,50.0
major_pred_ge3M,2023,past_selected,79,1191.532333486198,-449.0213368636208,8.262913024045226,18.548198873578045,22.89569810648587,50.63291139240506
major_pred_ge3M,2024,past_selected,89,1052.7138025315674,-137.1332372364844,2.4898219290575563,15.924626219211449,21.51663078313725,49.43820224719101
major_pred_ge3M,2025,past_selected,81,1202.8370412561735,-542.3662500198067,8.234722152231488,17.347244503457436,19.687046190723176,66.66666666666666
