holdout_year,variant,feature,branch,component,coefficient,multiplier
2021,share_only,SlateAudienceShare,regular,0,0.0093174488988376,1.0093609914559434
2021,share_only,CompetitionXShare,regular,0,-0.1995138562904143,0.8191288706467702
2021,share_only,Competing_Games_Score,regular,0,-0.0090086588124309,0.991031797577284
2021,share_only,SlateAudienceShare,regular,1,-0.0755311509230498,0.9272508453643694
2021,share_only,CompetitionXShare,regular,1,-0.2493444909619144,0.7793114613824143
2021,share_only,Competing_Games_Score,regular,1,-0.0070757558989234,0.9929492183232976
2021,share_only,SlateAudienceShare,week1,0,-0.0011852695398724,0.9988154326146272
2021,share_only,CompetitionXShare,week1,0,-0.2000451019862077,0.8186938275275628
2021,share_only,Competing_Games_Score,week1,0,-0.0090102027411087,0.9910302674960522
2021,share_only,SlateAudienceShare,week1,1,-0.0559973872956889,0.9455416063078002
2021,share_only,CompetitionXShare,week1,1,-0.2458849734576695,0.7820121719084278
2021,share_only,Competing_Games_Score,week1,1,-0.0069900171773823,0.9930343561695848
2021,stronger_only,StrongerCompetition,regular,0,0.0123463782262269,1.0124229093904606
2021,stronger_only,Competing_Games_Score,regular,0,-0.0307842865966413,0.96968472450894
2021,stronger_only,StrongerCompetition,regular,1,0.0118725332788121,1.011943291551418
2021,stronger_only,Competing_Games_Score,regular,1,-0.0294754825817975,0.9709546826513844
2021,stronger_only,StrongerCompetition,week1,0,0.0117599134478662,1.0118293330861086
2021,stronger_only,Competing_Games_Score,week1,0,-0.0303107682728139,0.9701439967226534
2021,stronger_only,StrongerCompetition,week1,1,0.0111799449892272,1.0112426741256837
2021,stronger_only,Competing_Games_Score,week1,1,-0.0290760601689973,0.9713425811759742
2022,own_strength,SlateOwnLogAudience,regular,0,-0.4743784835789574,0.6222716883762092
2022,own_strength,Competing_Games_Score,regular,0,-0.0246371242809416,0.975663892535546
2022,own_strength,SlateOwnLogAudience,regular,1,-0.4610427238110665,0.630625734087781
2022,own_strength,Competing_Games_Score,regular,1,-0.0236007411374888,0.9766755783039304
2022,own_strength,SlateOwnLogAudience,week1,0,-0.4719166091828497,0.6238055304017548
2022,own_strength,Competing_Games_Score,week1,0,-0.0251957837345673,0.9751189809026096
2022,own_strength,SlateOwnLogAudience,week1,1,-0.4582344337688797,0.6323992030993116
2022,own_strength,Competing_Games_Score,week1,1,-0.0242177037491353,0.9760731918324816
2022,leader,SlateOwnLogAudience,regular,0,-0.4736065240091364,0.6227522424213625
2022,leader,SlateLeader,regular,0,0.0768306174409083,1.0798591515943468
2022,leader,CompetitionXLeader,regular,0,-0.0133954737069988,0.9866938463778262
2022,leader,Competing_Games_Score,regular,0,-0.0238956187475132,0.976387621001798
2022,leader,SlateOwnLogAudience,regular,1,-0.4609623201487985,0.6306764407447951
2022,leader,SlateLeader,regular,1,0.0620589216446388,1.064025036986166
2022,leader,CompetitionXLeader,regular,1,-0.0104786452185173,0.9895760645228826
2022,leader,Competing_Games_Score,regular,1,-0.0228921051445558,0.977367931056202
2022,leader,SlateOwnLogAudience,week1,0,-0.4712005538437646,0.6242523696440698
2022,leader,SlateLeader,week1,0,0.0703849807626504,1.0729211557603042
2022,leader,CompetitionXLeader,week1,0,-0.012334223370721,0.9877415313838006
2022,leader,Competing_Games_Score,week1,0,-0.0244293583836669,0.9758666232791552
2022,leader,SlateOwnLogAudience,week1,1,-0.4580404309824053,0.6325219022084767
2022,leader,SlateLeader,week1,1,0.0471848625873072,1.0483157855365246
2022,leader,CompetitionXLeader,week1,1,-0.0082638431783269,0.991770208509881
2022,leader,Competing_Games_Score,week1,1,-0.0236630514788356,0.9766147232112316
2022,share,SlateOwnLogAudience,regular,0,-0.4891321807923994,0.6131582738907047
2022,share,SlateAudienceShare,regular,0,0.2854556450762718,1.330368065700735
2022,share,CompetitionXShare,regular,0,-0.0061173229608975,0.9939013497641076
2022,share,Competing_Games_Score,regular,0,-0.018342845637042,0.9818243604500292
2022,share,SlateOwnLogAudience,regular,1,-0.4357683413261382,0.646767537892275
2022,share,SlateAudienceShare,regular,1,0.156594557799378,1.1695213444554162
2022,share,CompetitionXShare,regular,1,-0.0404047454703366,0.960400642665995
2022,share,Competing_Games_Score,regular,1,-0.0185451107257195,0.9816257917411328
2022,share,SlateOwnLogAudience,week1,0,-0.4999000112852292,0.6065913089658371
2022,share,SlateAudienceShare,week1,0,0.3083792652852476,1.3612171534613116
2022,share,CompetitionXShare,week1,0,0.0053749995919938,1.005389470818295
2022,share,Competing_Games_Score,week1,0,-0.0190999232155827,0.98108132454407
2022,share,SlateOwnLogAudience,week1,1,-0.4495344576530096,0.6379250636351818
2022,share,SlateAudienceShare,week1,1,0.1908317496811595,1.2102558090245283
2022,share,CompetitionXShare,week1,1,-0.0270558423923087,0.9733068882216528
2022,share,Competing_Games_Score,week1,1,-0.0191824082466298,0.9810004033579944
2022,stronger,SlateOwnLogAudience,regular,0,-0.4742967773762984,0.6223225339100581
2022,stronger,StrongerCompetition,regular,0,5.529393471337407e-05,1.0000552954634512
2022,stronger,Competing_Games_Score,regular,0,-0.0246907858158993,0.975611538318186
2022,stronger,SlateOwnLogAudience,regular,1,-0.4565016311798087,0.6334959760468388
2022,stronger,StrongerCompetition,regular,1,0.0032043479311875,1.0032094873420403
2022,stronger,Competing_Games_Score,regular,1,-0.0266884206075879,0.9736645680812666
2022,stronger,SlateOwnLogAudience,week1,0,-0.4735241681551927,0.6228035318260448
2022,stronger,StrongerCompetition,week1,0,-0.0010928189204354,0.9989077779887032
2022,stronger,Competing_Games_Score,week1,0,-0.024139414441202,0.976149610918522
2022,stronger,SlateOwnLogAudience,week1,1,-0.4553855257128671,0.6342034190860739
2022,stronger,StrongerCompetition,week1,1,0.0020258770742424,1.0020279305496649
2022,stronger,Competing_Games_Score,week1,1,-0.0261668830012762,0.974172503211577
2022,leader_only,SlateLeader,regular,0,0.061693774016178,1.0636365816933684
2022,leader_only,CompetitionXLeader,regular,0,-0.0162801934071483,0.983851612695907
2022,leader_only,Competing_Games_Score,regular,0,-0.0248461201798733,0.9754600040899368
2022,leader_only,SlateLeader,regular,1,0.0451188402696101,1.0461521775284317
2022,leader_only,CompetitionXLeader,regular,1,-0.0127458138461133,0.9873350700308824
2022,leader_only,Competing_Games_Score,regular,1,-0.0236186366507335,0.976658100349572
2022,leader_only,SlateLeader,week1,0,0.0547780569953063,1.0563061488968746
2022,leader_only,CompetitionXLeader,week1,0,-0.0151192803079701,0.9849944421552268
2022,leader_only,Competing_Games_Score,week1,0,-0.0254119503008444,0.9749082155618268
2022,leader_only,SlateLeader,week1,1,0.0287817146495714,1.0291999106902676
2022,leader_only,CompetitionXLeader,week1,1,-0.010305318077398,0.9897475997784948
2022,leader_only,Competing_Games_Score,week1,1,-0.0244413492566798,0.9758549218565532
2022,share_only,SlateAudienceShare,regular,0,0.1333826861097319,1.1426872051902572
2022,share_only,CompetitionXShare,regular,0,-0.1154537731068742,0.8909617576790847
2022,share_only,Competing_Games_Score,regular,0,-0.016802903815939,0.9833374776008345
2022,share_only,SlateAudienceShare,regular,1,-0.0009891115692683,0.9990113774403382
2022,share_only,CompetitionXShare,regular,1,-0.1492719371736906,0.8613348540824693
2022,share_only,Competing_Games_Score,regular,1,-0.0164559119616946,0.9836787469009448
2022,share_only,SlateAudienceShare,week1,0,0.1425358139529577,1.1531943806671126
2022,share_only,CompetitionXShare,week1,0,-0.1111695589003713,0.894787016962979
2022,share_only,Competing_Games_Score,week1,0,-0.0172209058006423,0.98292652647874
2022,share_only,SlateAudienceShare,week1,1,0.0218809097187534,1.022122052419339
2022,share_only,CompetitionXShare,week1,1,-0.1416027967495178,0.8679659469207264
2022,share_only,Competing_Games_Score,week1,1,-0.0169106091473992,0.9832315726152404
2022,stronger_only,StrongerCompetition,regular,0,0.0095502571089358,1.0095960063373426
2022,stronger_only,Competing_Games_Score,regular,0,-0.0342676486914072,0.9663128376566226
2022,stronger_only,StrongerCompetition,regular,1,0.0124147634832374,1.0124921465586965
2022,stronger_only,Competing_Games_Score,regular,1,-0.0357518007033144,0.9648797462402938
2022,stronger_only,StrongerCompetition,week1,0,0.0084193370372337,1.0084548793328056
